cage_number,treatment,species,value,trophic_level,metric,interaction_evenness
2,Epo_Epl,Centaurea_cyanus,0.665306122,plant,pollinator_sharing,0.686697732
2,Epo_Epl,Coriandrum_sativum,0.649092971,plant,pollinator_sharing,0.686697732
2,Epo_Epl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.686697732
2,Epo_Epl,Salvia_farinacea,0.461904762,plant,pollinator_sharing,0.686697732
2,Epo_Epl,Brassica_rapa,0.649092971,plant,pollinator_sharing,0.686697732
2,Epo_Epl,Fagopyrum_esculentum,0.671655329,plant,pollinator_sharing,0.686697732
20,Dpo_Epl,Centaurea_cyanus,0.704421769,plant,pollinator_sharing,0.573247907
20,Dpo_Epl,Coriandrum_sativum,0.717120181,plant,pollinator_sharing,0.573247907
20,Dpo_Epl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.573247907
20,Dpo_Epl,Fagopyrum_esculentum,0.663605442,plant,pollinator_sharing,0.573247907
20,Dpo_Epl,Brassica_rapa,0.692743764,plant,pollinator_sharing,0.573247907
20,Dpo_Epl,Salvia_farinacea,0.643537415,plant,pollinator_sharing,0.573247907
20,Dpo_Epl,Lupinus_hartwegii,0.676303855,plant,pollinator_sharing,0.573247907
3,Epo_Epl,Lupinus_hartwegii,0.769274376,plant,pollinator_sharing,0.601050892
3,Epo_Epl,Salvia_farinacea,0.683673469,plant,pollinator_sharing,0.601050892
3,Epo_Epl,Coriandrum_sativum,0.692743764,plant,pollinator_sharing,0.601050892
3,Epo_Epl,Centaurea_cyanus,0.769274376,plant,pollinator_sharing,0.601050892
3,Epo_Epl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.601050892
3,Epo_Epl,Fagopyrum_esculentum,0.773809524,plant,pollinator_sharing,0.601050892
3,Epo_Epl,Brassica_rapa,0.773809524,plant,pollinator_sharing,0.601050892
4,Epo_Epl,Coriandrum_sativum,0.757823129,plant,pollinator_sharing,0.548366513
4,Epo_Epl,Centaurea_cyanus,0.780952381,plant,pollinator_sharing,0.548366513
4,Epo_Epl,Cucurbita_pepo,0.576190476,plant,pollinator_sharing,0.548366513
4,Epo_Epl,Lupinus_hartwegii,0.687755102,plant,pollinator_sharing,0.548366513
4,Epo_Epl,Salvia_farinacea,0.780952381,plant,pollinator_sharing,0.548366513
4,Epo_Epl,Fagopyrum_esculentum,0.757823129,plant,pollinator_sharing,0.548366513
4,Epo_Epl,Brassica_rapa,0.757823129,plant,pollinator_sharing,0.548366513
5,Epo_Epl,Cucurbita_pepo,0.533333333,plant,pollinator_sharing,0.656495229
5,Epo_Epl,Brassica_rapa,0.766439909,plant,pollinator_sharing,0.656495229
5,Epo_Epl,Salvia_farinacea,0.649659864,plant,pollinator_sharing,0.656495229
5,Epo_Epl,Lupinus_hartwegii,0.649659864,plant,pollinator_sharing,0.656495229
5,Epo_Epl,Coriandrum_sativum,0.766439909,plant,pollinator_sharing,0.656495229
5,Epo_Epl,Fagopyrum_esculentum,0.766439909,plant,pollinator_sharing,0.656495229
5,Epo_Epl,Centaurea_cyanus,0.771428571,plant,pollinator_sharing,0.656495229
6,Epo_Dpl,Coriandrum_sativum,0.733333333,plant,pollinator_sharing,0.543970875
6,Epo_Dpl,Cucurbita_pepo,0.580952381,plant,pollinator_sharing,0.543970875
6,Epo_Dpl,Centaurea_cyanus,0.732426304,plant,pollinator_sharing,0.543970875
6,Epo_Dpl,Lupinus_hartwegii,0.580952381,plant,pollinator_sharing,0.543970875
6,Epo_Dpl,Brassica_rapa,0.732426304,plant,pollinator_sharing,0.543970875
6,Epo_Dpl,Salvia_farinacea,0.673469388,plant,pollinator_sharing,0.543970875
6,Epo_Dpl,Fagopyrum_esculentum,0.732426304,plant,pollinator_sharing,0.543970875
7,Epo_Dpl,Centaurea_cyanus,0.62244898,plant,pollinator_sharing,0.52759868
7,Epo_Dpl,Brassica_rapa,0.615079365,plant,pollinator_sharing,0.52759868
7,Epo_Dpl,Cucurbita_pepo,0.50952381,plant,pollinator_sharing,0.52759868
7,Epo_Dpl,Coriandrum_sativum,0.633560091,plant,pollinator_sharing,0.52759868
7,Epo_Dpl,Fagopyrum_esculentum,0.615079365,plant,pollinator_sharing,0.52759868
7,Epo_Dpl,Salvia_farinacea,0.142857143,plant,pollinator_sharing,0.52759868
7,Epo_Dpl,Lupinus_hartwegii,0.50952381,plant,pollinator_sharing,0.52759868
8,Epo_Dpl,Brassica_rapa,0.634920635,plant,pollinator_sharing,0.634345977
8,Epo_Dpl,Centaurea_cyanus,0.618253968,plant,pollinator_sharing,0.634345977
8,Epo_Dpl,Coriandrum_sativum,0.634920635,plant,pollinator_sharing,0.634345977
8,Epo_Dpl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.634345977
8,Epo_Dpl,Lupinus_hartwegii,0.495238095,plant,pollinator_sharing,0.634345977
8,Epo_Dpl,Salvia_farinacea,0.495238095,plant,pollinator_sharing,0.634345977
8,Epo_Dpl,Fagopyrum_esculentum,0.618253968,plant,pollinator_sharing,0.634345977
9,Epo_Dpl,Centaurea_cyanus,0.569727891,plant,pollinator_sharing,0.530888629
9,Epo_Dpl,Cucurbita_pepo,0.142857143,plant,pollinator_sharing,0.530888629
9,Epo_Dpl,Lupinus_hartwegii,0.476190476,plant,pollinator_sharing,0.530888629
9,Epo_Dpl,Coriandrum_sativum,0.569727891,plant,pollinator_sharing,0.530888629
9,Epo_Dpl,Fagopyrum_esculentum,0.433106576,plant,pollinator_sharing,0.530888629
9,Epo_Dpl,Brassica_rapa,0.579365079,plant,pollinator_sharing,0.530888629
9,Epo_Dpl,Salvia_farinacea,0.476190476,plant,pollinator_sharing,0.530888629
1,Epo_Epl,Oxysarcodexia_varia,0.483809524,pollinator,niche_overlap,0.640372564
1,Epo_Epl,Bombus_terrestris,0.758961039,pollinator,niche_overlap,0.640372564
1,Epo_Epl,Leioproctus_paahaumaa,0.723333333,pollinator,niche_overlap,0.640372564
1,Epo_Epl,Megachile_rotundata,0.75959596,pollinator,niche_overlap,0.640372564
1,Epo_Epl,Eristalis_tenax,0.767777778,pollinator,niche_overlap,0.640372564
10,Epo_Dpl,Bombus_terrestris,0.802063492,pollinator,niche_overlap,0.564982988
10,Epo_Dpl,Eristalis_tenax,0.86031746,pollinator,niche_overlap,0.564982988
10,Epo_Dpl,Megachile_rotundata,0.802063492,pollinator,niche_overlap,0.564982988
10,Epo_Dpl,Leioproctus_paahaumaa,0.831428571,pollinator,niche_overlap,0.564982988
10,Epo_Dpl,Oxysarcodexia_varia,0.721904762,pollinator,niche_overlap,0.564982988
11,Dpo_Dpl,Eristalis_tenax,0.546666667,pollinator,niche_overlap,0.419613917
11,Dpo_Dpl,Oxysarcodexia_varia,0.67047619,pollinator,niche_overlap,0.419613917
11,Dpo_Dpl,Bombus_terrestris,0.534285714,pollinator,niche_overlap,0.419613917
11,Dpo_Dpl,Megachile_rotundata,0.633333333,pollinator,niche_overlap,0.419613917
11,Dpo_Dpl,Leioproctus_paahaumaa,0.67047619,pollinator,niche_overlap,0.419613917
12,Dpo_Dpl,Eristalis_tenax,0.677056277,pollinator,niche_overlap,0.435385096
12,Dpo_Dpl,Oxysarcodexia_varia,0.647619048,pollinator,niche_overlap,0.435385096
12,Dpo_Dpl,Bombus_terrestris,0.638961039,pollinator,niche_overlap,0.435385096
12,Dpo_Dpl,Megachile_rotundata,0.59047619,pollinator,niche_overlap,0.435385096
12,Dpo_Dpl,Leioproctus_paahaumaa,0.647619048,pollinator,niche_overlap,0.435385096
13,Dpo_Dpl,Megachile_rotundata,0.888311688,pollinator,niche_overlap,0.516556207
13,Dpo_Dpl,Oxysarcodexia_varia,0.796190476,pollinator,niche_overlap,0.516556207
13,Dpo_Dpl,Eristalis_tenax,0.888311688,pollinator,niche_overlap,0.516556207
13,Dpo_Dpl,Bombus_terrestris,0.730909091,pollinator,niche_overlap,0.516556207
13,Dpo_Dpl,Leioproctus_paahaumaa,0.796190476,pollinator,niche_overlap,0.516556207
